Md	Hc	Po	Ni	Ib	Wm	De	So
0.4417789876461029	0.5568605661392212	0.2704038918018341	0.17336882650852203	0.23442025482654572	0.5068728923797607	0.5265434980392456	0.44102808833122253
0.34630024433135986	0.3951863646507263	0.19136393070220947	0.16885752975940704	0.15393449366092682	0.3622775375843048	0.3466365933418274	0.25866925716400146
0.3269435167312622	0.2701094150543213	0.15139076113700867	0.12498583644628525	0.10970412939786911	0.31530842185020447	0.3340894281864166	0.22399768233299255
0.2286316156387329	0.19545984268188477	0.08834171295166016	0.09037010371685028	0.05937710404396057	0.19731870293617249	0.15179967880249023	0.1473304033279419
0.45808690786361694	0.45937874913215637	0.2754777669906616	0.14558328688144684	0.19097910821437836	0.4913898706436157	0.5780646204948425	0.3965105414390564
0.4293929636478424	0.3675130009651184	0.219136580824852	0.10101967304944992	0.18582683801651	0.45535653829574585	0.5890669822692871	0.3438294231891632
0.32244545221328735	0.2704263925552368	0.13178782165050507	0.07513230293989182	0.11255862563848495	0.29450908303260803	0.28624770045280457	0.25617849826812744
0.5320199728012085	0.5091269016265869	0.23637236654758453	0.1805754005908966	0.17519795894622803	0.49941107630729675	0.6616964936256409	0.40113547444343567
0.3723471760749817	0.3065636157989502	0.1764645278453827	0.09852590411901474	0.12537360191345215	0.34607383608818054	0.35962074995040894	0.3125753104686737
0.3600011169910431	0.34915900230407715	0.21224656701087952	0.11710995435714722	0.13656416535377502	0.38170126080513	0.3920329213142395	0.331819087266922
