dataset	similar_to	granularity	similarity
Hc	Md	11	0.09973011910915375
Md	Hc	11	0.12236737459897995
Po	Hc	11	0.05374091863632202
Ni	Hc	11	0.0858442559838295
Ib	Hc	11	0.07613933086395264
Wm	Hc	11	0.07387564331293106
De	Hc	11	0.07469683885574341
So	Hc	11	0.049845606088638306
Hc	Hc	11	0.45937874913215637
Md	Md	12	1.0
Po	Md	12	0.07403316348791122
Ni	Md	12	0.09782189130783081
Ib	Md	12	0.07569226622581482
Wm	Md	12	0.10696767270565033
De	Md	12	0.0937218964099884
So	Md	12	0.08276762068271637
Hc	Md	12	0.10056015849113464
Md	Hc	12	0.10056015849113464
Po	Hc	12	0.04391629248857498
Ni	Hc	12	0.14292074739933014
Ib	Hc	12	0.07349071651697159
Wm	Hc	12	0.06872475147247314
De	Hc	12	0.08931712061166763
So	Hc	12	0.04760922119021416
Hc	Hc	12	1.0
Md	Md	13	0.5320199728012085
Po	Md	13	0.07018739730119705
Ni	Md	13	0.0938708633184433
Ib	Md	13	0.08913129568099976
Wm	Md	13	0.11164174228906631
De	Md	13	0.09323593974113464
So	Md	13	0.07855954766273499
Hc	Md	13	0.10835816711187363
Md	Hc	13	0.09793666750192642
Po	Hc	13	0.042983196675777435
Ni	Hc	13	0.08806758373975754
Ib	Hc	13	0.0535854734480381
Wm	Hc	13	0.05164358764886856
De	Hc	13	0.09367009997367859
So	Hc	13	0.03932841494679451
Hc	Hc	13	0.5091269016265869
Md	Md	14	0.3723471760749817
Po	Md	14	0.057843875139951706
Ni	Md	14	0.07626406848430634
Ib	Md	14	0.06078366935253143
Wm	Md	14	0.09155448526144028
De	Md	14	0.09482531249523163
So	Md	14	0.0756492167711258
Hc	Md	14	0.10963564366102219
Md	Hc	14	0.07346897572278976
Po	Hc	14	0.03262897953391075
Ni	Hc	14	0.06547301262617111
Ib	Hc	14	0.029783347621560097
Wm	Hc	14	0.031422875821590424
De	Hc	14	0.08443319797515869
So	Hc	14	0.0453585647046566
Hc	Hc	14	0.3065636157989502
Md	Md	15	0.3269435167312622
Po	Md	15	0.057271383702754974
Ni	Md	15	0.08156417310237885
Ib	Md	15	0.050344228744506836
Wm	Md	15	0.07314584404230118
De	Md	15	0.041751962155103683
So	Md	15	0.07421663403511047
Hc	Md	15	0.08983594924211502
Md	Hc	15	0.12180978804826736
Po	Hc	15	0.03553850203752518
Ni	Hc	15	0.08084625005722046
Ib	Hc	15	0.062278326600790024
Wm	Hc	15	0.07382704317569733
De	Hc	15	0.042389895766973495
So	Hc	15	0.030039669945836067
Hc	Hc	15	0.2701094150543213
Md	Md	16	0.4293929636478424
Po	Md	16	0.07015416026115417
Ni	Md	16	0.07672278583049774
Ib	Md	16	0.07711365818977356
Wm	Md	16	0.08915034681558609
De	Md	16	0.07061975449323654
So	Md	16	0.08596820384263992
Hc	Md	16	0.10169763118028641
Md	Hc	16	0.12068157643079758
Po	Hc	16	0.055499907582998276
Ni	Hc	16	0.08103150874376297
Ib	Hc	16	0.07214517891407013
Wm	Hc	16	0.06767838448286057
De	Hc	16	0.07050146907567978
So	Hc	16	0.051396723836660385
Hc	Hc	16	0.3675130009651184
Md	Md	17	0.5320199728012085
Po	Md	17	0.07202502340078354
Ni	Md	17	0.09947093576192856
Ib	Md	17	0.07335994392633438
Wm	Md	17	0.09067630767822266
De	Md	17	0.08893945813179016
So	Md	17	0.08136948198080063
Hc	Md	17	0.09793666750192642
Md	Hc	17	0.10835816711187363
Po	Hc	17	0.04809178411960602
Ni	Hc	17	0.11594360321760178
Ib	Hc	17	0.06917459517717361
Wm	Hc	17	0.06689934432506561
De	Hc	17	0.08191843330860138
So	Hc	17	0.048911139369010925
Hc	Hc	17	0.5091269016265869
Md	Md	18	1.0
Po	Md	18	0.0691327378153801
Ni	Md	18	0.09772057086229324
Ib	Md	18	0.0841134563088417
Wm	Md	18	0.09698494523763657
De	Md	18	0.0855817124247551
So	Md	18	0.08136090636253357
Hc	Md	18	0.10385690629482269
Md	Hc	18	0.10385690629482269
Po	Hc	18	0.04786199703812599
Ni	Hc	18	0.08155899494886398
Ib	Hc	18	0.057933926582336426
Wm	Hc	18	0.05630134418606758
De	Hc	18	0.08569180965423584
So	Hc	18	0.043070174753665924
Hc	Hc	18	1.0
Md	Md	19	0.3600011169910431
Po	Md	19	0.05946214124560356
Ni	Md	19	0.07827848196029663
Ib	Md	19	0.0560985691845417
Wm	Md	19	0.07684405148029327
De	Md	19	0.08975178003311157
So	Md	19	0.077151820063591
Hc	Md	19	0.1100449189543724
Md	Hc	19	0.08553872257471085
Po	Hc	19	0.03756822273135185
Ni	Hc	19	0.062226854264736176
Ib	Hc	19	0.034285034984350204
Wm	Hc	19	0.035331904888153076
De	Hc	19	0.0762750655412674
So	Hc	19	0.046892229467630386
Hc	Hc	19	0.34915900230407715
Md	Md	20	0.2286316156387329
Po	Md	20	0.04531357064843178
Ni	Md	20	0.061488572508096695
Ib	Md	20	0.035257499665021896
Wm	Md	20	0.05259867012500763
De	Md	20	0.030090682208538055
So	Md	20	0.05628339201211929
Hc	Md	20	0.05930263549089432
Md	Hc	20	0.11343345791101456
Po	Hc	20	0.029420608654618263
Ni	Hc	20	0.06301259994506836
Ib	Hc	20	0.043482255190610886
Wm	Hc	20	0.0570884607732296
De	Hc	20	0.03094080090522766
So	Hc	20	0.029482660815119743
Hc	Hc	20	0.19545984268188477
Md	Md	21	0.32244545221328735
Po	Md	21	0.057266563177108765
Ni	Md	21	0.06019861251115799
Ib	Md	21	0.0609736442565918
Wm	Md	21	0.07207154482603073
De	Md	21	0.052326466888189316
So	Md	21	0.06889930367469788
Hc	Md	21	0.06687600910663605
Md	Hc	21	0.11501744389533997
Po	Hc	21	0.042772818356752396
Ni	Hc	21	0.05828970670700073
Ib	Hc	21	0.05305878445506096
Wm	Hc	21	0.05296052247285843
De	Hc	21	0.05442951247096062
So	Hc	21	0.04559648409485817
Hc	Hc	21	0.2704263925552368
Md	Md	22	0.3723471760749817
Po	Md	22	0.061570558696985245
Ni	Md	22	0.07148491591215134
Ib	Md	22	0.05862133949995041
Wm	Md	22	0.08361851423978806
De	Md	22	0.07341647148132324
So	Md	22	0.06956981122493744
Hc	Md	22	0.07346897572278976
Md	Hc	22	0.10963564366102219
Po	Hc	22	0.04066376015543938
Ni	Hc	22	0.09602221846580505
Ib	Hc	22	0.05408315733075142
Wm	Hc	22	0.055965833365917206
De	Hc	22	0.06593282520771027
So	Hc	22	0.04336835816502571
Hc	Hc	22	0.3065636157989502
Md	Md	23	0.3600011169910431
Po	Md	23	0.06047450378537178
Ni	Md	23	0.08178000152111053
Ib	Md	23	0.0674247294664383
Wm	Md	23	0.09016544371843338
De	Md	23	0.07417528331279755
So	Md	23	0.070275217294693
Hc	Md	23	0.08553872257471085
Md	Hc	23	0.1100449189543724
Po	Hc	23	0.04086067155003548
Ni	Hc	23	0.06589394807815552
Ib	Hc	23	0.045408960431814194
Wm	Hc	23	0.05004311725497246
De	Hc	23	0.06464242935180664
So	Hc	23	0.04370351880788803
Hc	Hc	23	0.34915900230407715
Md	Md	24	1.0
Po	Md	24	0.054318610578775406
Ni	Md	24	0.07054751366376877
Ib	Md	24	0.05732422322034836
Wm	Md	24	0.07800479233264923
De	Md	24	0.08567612618207932
So	Md	24	0.07095561176538467
Hc	Md	24	0.09656964242458344
Md	Hc	24	0.09656964242458344
Po	Hc	24	0.03644638881087303
Ni	Hc	24	0.05606790632009506
Ib	Hc	24	0.03415098413825035
Wm	Hc	24	0.03406660258769989
De	Hc	24	0.07386447489261627
So	Hc	24	0.04433443397283554
Hc	Hc	24	1.0
