participant_id	K	symmetry	dcbc_indiv	dcbc_group
Demand_sub-01	10	Asymmetric	0.16877836333333332	0.07863347746666667
Demand_sub-01	10	Symmetric	0.12797715225	0.08162307708333334
Demand_sub-01	20	Asymmetric	0.16767956466666667	0.067450828275
Demand_sub-01	20	Symmetric	0.15699217616666666	0.09881376258333334
Demand_sub-01	34	Asymmetric	0.19006384833333334	0.07705028733333334
Demand_sub-01	34	Symmetric	0.1661041175	0.11338767766666667
Demand_sub-01	40	Asymmetric	0.18695088916666666	0.08202248816666667
Demand_sub-01	40	Symmetric	0.16787172083333335	0.10837574658333333
Demand_sub-01	68	Asymmetric	0.19595753666666668	0.08193965125000001
Demand_sub-01	68	Symmetric	0.17609933916666665	0.12003482416666666
Demand_sub-02	10	Asymmetric	0.153398277	0.05594622283333334
Demand_sub-02	10	Symmetric	0.20765082499999998	0.07407647048333334
Demand_sub-02	20	Asymmetric	0.18371076500000003	0.07381926158333334
Demand_sub-02	20	Symmetric	0.23687270583333334	0.06737791583333333
Demand_sub-02	34	Asymmetric	0.19811535833333335	0.08290826625
Demand_sub-02	34	Symmetric	0.23292380999999998	0.0527178879
Demand_sub-02	40	Asymmetric	0.20892011541666666	0.07531906183333333
Demand_sub-02	40	Symmetric	0.22598930250000002	0.06468094833333334
Demand_sub-02	68	Asymmetric	0.18438771750000002	0.076909031
Demand_sub-02	68	Symmetric	0.21802051	0.04196790516666667
Demand_sub-05	10	Asymmetric	0.14772235775	0.06746031549999999
Demand_sub-05	10	Symmetric	0.17301957133333334	0.08330798175
Demand_sub-05	20	Asymmetric	0.16445736308333334	0.05957802466666667
Demand_sub-05	20	Symmetric	0.18149008749999998	0.07821717304999999
Demand_sub-05	34	Asymmetric	0.1903197195	0.08845227525
Demand_sub-05	34	Symmetric	0.18262849583333332	0.06845571358333334
Demand_sub-05	40	Asymmetric	0.1921399808333333	0.06725632316666667
Demand_sub-05	40	Symmetric	0.18853020333333334	0.07851686475
Demand_sub-05	68	Asymmetric	0.19836373583333333	0.086754076
Demand_sub-05	68	Symmetric	0.17661971083333336	0.062134118833333335
Demand_sub-06	10	Asymmetric	0.14919107375	0.07567855508333333
Demand_sub-06	10	Symmetric	0.18524571666666667	0.099322474
Demand_sub-06	20	Asymmetric	0.14847192083333335	0.06268710330833334
Demand_sub-06	20	Symmetric	0.211903045	0.100872128
Demand_sub-06	34	Asymmetric	0.2071608455	0.08707895716666668
Demand_sub-06	34	Symmetric	0.22913092499999999	0.09976934408333332
Demand_sub-06	40	Asymmetric	0.18829687333333334	0.07533070658333334
Demand_sub-06	40	Symmetric	0.23212618833333332	0.10984610774999999
Demand_sub-06	68	Asymmetric	0.2245033175	0.10105022508333333
Demand_sub-06	68	Symmetric	0.23990797666666666	0.09713764633333333
Demand_sub-07	10	Asymmetric	0.13106276416666665	0.03975113410833333
Demand_sub-07	10	Symmetric	0.18423174833333333	0.09433265908333333
Demand_sub-07	20	Asymmetric	0.20137807216666667	0.09674051133333333
Demand_sub-07	20	Symmetric	0.188892335	0.08768513366666668
Demand_sub-07	34	Asymmetric	0.20079177166666665	0.081118998
Demand_sub-07	34	Symmetric	0.19979946666666668	0.08612937883333333
Demand_sub-07	40	Asymmetric	0.17171914166666666	0.06819641566666666
Demand_sub-07	40	Symmetric	0.20150943916666667	0.08638105391666667
Demand_sub-07	68	Asymmetric	0.21954568666666666	0.089473343
Demand_sub-07	68	Symmetric	0.20265208499999998	0.08255639099999999
Demand_sub-08	10	Asymmetric	0.18292754749999998	0.06223639558333333
Demand_sub-08	10	Symmetric	0.1190517315	0.05738480533333334
Demand_sub-08	20	Asymmetric	0.1971182433333333	0.08520076250000001
Demand_sub-08	20	Symmetric	0.13734055250000002	0.057831451725000003
Demand_sub-08	34	Asymmetric	0.19584851466666667	0.06922990716666667
Demand_sub-08	34	Symmetric	0.154123415	0.06326588918333333
Demand_sub-08	40	Asymmetric	0.1544862825	0.064500967775
Demand_sub-08	40	Symmetric	0.15223871666666666	0.06825411025
Demand_sub-08	68	Asymmetric	0.2019932275	0.07824569491666668
Demand_sub-08	68	Symmetric	0.16126479800000001	0.06299719216666667
Demand_sub-09	10	Asymmetric	0.18048664416666668	0.085948759
Demand_sub-09	10	Symmetric	0.14213424	0.07081176466666667
Demand_sub-09	20	Asymmetric	0.14620435783333333	0.07021546783333334
Demand_sub-09	20	Symmetric	0.16668536583333335	0.06441419791666667
Demand_sub-09	34	Asymmetric	0.19165869666666668	0.076184345
Demand_sub-09	34	Symmetric	0.1796538533333333	0.06991132080833333
Demand_sub-09	40	Asymmetric	0.22806562249999998	0.0797867945
Demand_sub-09	40	Symmetric	0.17016762166666666	0.07733141233333334
Demand_sub-09	68	Asymmetric	0.19291848666666667	0.074148606
Demand_sub-09	68	Symmetric	0.18227993500000003	0.06205956438333333
Demand_sub-10	10	Asymmetric	0.14093728166666666	0.063128312225
Demand_sub-10	10	Symmetric	0.1713345625	0.08968903708333333
Demand_sub-10	20	Asymmetric	0.17026768508333334	0.0721447535
Demand_sub-10	20	Symmetric	0.18507543583333333	0.09143937283333332
Demand_sub-10	34	Asymmetric	0.22428767333333333	0.08405578941666668
Demand_sub-10	34	Symmetric	0.20159439166666668	0.08784173683333334
Demand_sub-10	40	Asymmetric	0.17830621300000002	0.07599890075
Demand_sub-10	40	Symmetric	0.20203747916666667	0.10098202158333335
Demand_sub-10	68	Asymmetric	0.1936864775	0.08119328208333333
Demand_sub-10	68	Symmetric	0.21082416583333333	0.09716260283333333
